Timestamp,Player Name,Player UUID,Class,ID,Name,Position,Change,Old Data,New Data
"2023-08-17T08:40:27.761+02:00","Cocam12345","e07e6e16-b0ba-4454-900c-65c7cb28e049","mtr.data.Rail","","","(-411, 76, 675)
(-444, 76, 675)","CREATE","{}","{
  ""type"": ""STONE"",
  ""one_way"": true
}"
"2023-08-17T08:40:52.382+02:00","Cocam12345","e07e6e16-b0ba-4454-900c-65c7cb28e049","mtr.data.Rail","","","(-444, 76, 675)
(-453, 76, 666)","CREATE","{}","{
  ""type"": ""STONE"",
  ""one_way"": true
}"
"2023-08-17T08:42:08.719+02:00","Cocam12345","e07e6e16-b0ba-4454-900c-65c7cb28e049","mtr.block.BlockNode","","","(-453, 76, 595)","DELETE","{
  ""type"": ""TRAIN""
}","{}"
"2023-08-17T08:42:10.008+02:00","Cocam12345","e07e6e16-b0ba-4454-900c-65c7cb28e049","mtr.data.Rail","","","(-453, 76, 595)
(-453, 76, 666)","CREATE","{}","{
  ""type"": ""STONE"",
  ""one_way"": true
}"
"2023-08-17T08:42:35.112+02:00","Cocam12345","e07e6e16-b0ba-4454-900c-65c7cb28e049","mtr.data.Rail","","","(-453, 76, 595)
(-463, 76, 585)","CREATE","{}","{
  ""type"": ""STONE"",
  ""one_way"": true
}"
"2023-08-17T08:44:20.072+02:00","Cocam12345","e07e6e16-b0ba-4454-900c-65c7cb28e049","mtr.data.Rail","","","(-463, 76, 504)
(-463, 76, 585)","CREATE","{}","{
  ""type"": ""STONE"",
  ""one_way"": true
}"
"2023-08-17T08:45:13.708+02:00","Cocam12345","e07e6e16-b0ba-4454-900c-65c7cb28e049","mtr.block.BlockNode","","","(-443, 76, 671)","DELETE","{
  ""type"": ""TRAIN""
}","{}"
"2023-08-17T08:46:05.481+02:00","Cocam12345","e07e6e16-b0ba-4454-900c-65c7cb28e049","mtr.data.Rail","","","(-459, 76, 504)
(-459, 76, 585)","CREATE","{}","{
  ""type"": ""STONE"",
  ""one_way"": true
}"
"2023-08-17T08:46:08.603+02:00","Cocam12345","e07e6e16-b0ba-4454-900c-65c7cb28e049","mtr.data.Rail","","","(-449, 76, 595)
(-459, 76, 585)","CREATE","{}","{
  ""type"": ""STONE"",
  ""one_way"": true
}"
"2023-08-17T08:46:13.220+02:00","Cocam12345","e07e6e16-b0ba-4454-900c-65c7cb28e049","mtr.block.BlockNode","","","(-449, 76, 595)","DELETE","{
  ""type"": ""TRAIN""
}","{}"
"2023-08-17T08:46:19.334+02:00","Cocam12345","e07e6e16-b0ba-4454-900c-65c7cb28e049","mtr.block.BlockNode","","","(-459, 76, 585)","DELETE","{
  ""type"": ""TRAIN""
}","{}"
"2023-08-17T08:46:38.410+02:00","Cocam12345","e07e6e16-b0ba-4454-900c-65c7cb28e049","mtr.data.Rail","","","(-449, 76, 595)
(-459, 76, 581)","CREATE","{}","{
  ""type"": ""STONE"",
  ""one_way"": true
}"
"2023-08-17T08:46:53.360+02:00","Cocam12345","e07e6e16-b0ba-4454-900c-65c7cb28e049","mtr.data.Rail","","","(-459, 76, 504)
(-459, 76, 581)","CREATE","{}","{
  ""type"": ""STONE"",
  ""one_way"": true
}"
"2023-08-17T08:47:05.784+02:00","Cocam12345","e07e6e16-b0ba-4454-900c-65c7cb28e049","mtr.data.Rail","","","(-449, 76, 595)
(-449, 76, 666)","CREATE","{}","{
  ""type"": ""STONE"",
  ""one_way"": true
}"
"2023-08-17T08:47:07.760+02:00","Cocam12345","e07e6e16-b0ba-4454-900c-65c7cb28e049","mtr.data.Rail","","","(-444, 76, 671)
(-449, 76, 666)","CREATE","{}","{
  ""type"": ""STONE"",
  ""one_way"": true
}"
"2023-08-17T08:47:17.629+02:00","Cocam12345","e07e6e16-b0ba-4454-900c-65c7cb28e049","mtr.data.Rail","","","(-411, 76, 671)
(-444, 76, 671)","CREATE","{}","{
  ""type"": ""STONE"",
  ""one_way"": true
}"
"2023-08-17T08:52:59.919+02:00","Cocam12345","e07e6e16-b0ba-4454-900c-65c7cb28e049","mtr.data.Rail","","","(-411, 76, 675)
(-417, 76, 677)","CREATE","{}","{
  ""type"": ""EMERALD"",
  ""one_way"": true
}"
"2023-08-17T08:53:06.458+02:00","Cocam12345","e07e6e16-b0ba-4454-900c-65c7cb28e049","mtr.data.Rail","","","(-411, 76, 671)
(-417, 76, 669)","CREATE","{}","{
  ""type"": ""EMERALD"",
  ""one_way"": true
}"
"2023-08-17T08:54:15.708+02:00","Cocam12345","e07e6e16-b0ba-4454-900c-65c7cb28e049","mtr.data.Rail","","","(-417, 76, 677)
(-454, 76, 677)","CREATE","{}","{
  ""type"": ""EMERALD"",
  ""one_way"": true
}"
"2023-08-17T08:54:40.910+02:00","Cocam12345","e07e6e16-b0ba-4454-900c-65c7cb28e049","mtr.data.Rail","","","(-417, 76, 669)
(-429, 76, 669)","CREATE","{}","{
  ""type"": ""EMERALD"",
  ""one_way"": true
}"
"2023-08-17T08:55:11.076+02:00","Cocam12345","e07e6e16-b0ba-4454-900c-65c7cb28e049","mtr.block.BlockNode","","","(-445, 79, 669)","DELETE","{
  ""type"": ""TRAIN""
}","{}"
