Timestamp,Player Name,Player UUID,Class,ID,Name,Position,Change,Old Data,New Data
"2023-12-29T14:55:22.286+01:00","Cocam12345","e07e6e16-b0ba-4454-900c-65c7cb28e049","mtr.data.Rail","","","(-190, 76, 475)
(-210, 76, 475)","CREATE","{}","{
  ""type"": ""STONE"",
  ""one_way"": true
}"
"2023-12-29T14:56:01.541+01:00","Cocam12345","e07e6e16-b0ba-4454-900c-65c7cb28e049","mtr.block.BlockNode","","","(-190, 76, 475)","DELETE","{
  ""type"": ""TRAIN""
}","{}"
"2023-12-29T14:56:09.646+01:00","Cocam12345","e07e6e16-b0ba-4454-900c-65c7cb28e049","mtr.data.Rail","","","(-181, 76, 464)
(-210, 76, 475)","CREATE","{}","{
  ""type"": ""STONE"",
  ""one_way"": true
}"
"2023-12-29T14:59:00.409+01:00","Cocam12345","e07e6e16-b0ba-4454-900c-65c7cb28e049","mtr.data.Rail","","","(-110, 76, 464)
(-181, 76, 464)","CREATE","{}","{
  ""type"": ""STONE"",
  ""one_way"": true
}"
"2023-12-29T15:00:00.930+01:00","Cocam12345","e07e6e16-b0ba-4454-900c-65c7cb28e049","mtr.data.Rail","","","(-110, 76, 464)
(-74, 76, 464)","CREATE","{}","{
  ""type"": ""STONE"",
  ""one_way"": true
}"
"2023-12-29T15:16:50.406+01:00","Cocam12345","e07e6e16-b0ba-4454-900c-65c7cb28e049","mtr.data.Rail","","","(-40, 76, 636)
(-63, 76, 659)","CREATE","{}","{
  ""type"": ""STONE"",
  ""one_way"": true
}"
"2023-12-29T15:16:58.414+01:00","Cocam12345","e07e6e16-b0ba-4454-900c-65c7cb28e049","mtr.data.Rail","","","(-131, 76, 659)
(-63, 76, 659)","CREATE","{}","{
  ""type"": ""STONE"",
  ""one_way"": true
}"
"2023-12-29T15:17:11.592+01:00","Cocam12345","e07e6e16-b0ba-4454-900c-65c7cb28e049","mtr.data.Rail","","","(-131, 76, 655)
(-63, 76, 655)","CREATE","{}","{
  ""type"": ""STONE"",
  ""one_way"": true
}"
"2023-12-29T15:17:15.047+01:00","Cocam12345","e07e6e16-b0ba-4454-900c-65c7cb28e049","mtr.data.Rail","","","(-44, 76, 636)
(-63, 76, 655)","CREATE","{}","{
  ""type"": ""STONE"",
  ""one_way"": true
}"
"2023-12-29T15:19:04.895+01:00","Cocam12345","e07e6e16-b0ba-4454-900c-65c7cb28e049","mtr.data.Rail","","","(-60, 76, 464)
(-74, 76, 464)","CREATE","{}","{
  ""type"": ""STONE"",
  ""one_way"": true
}"
"2023-12-29T15:19:09.898+01:00","Cocam12345","e07e6e16-b0ba-4454-900c-65c7cb28e049","mtr.data.Rail","","","(-40, 76, 484)
(-60, 76, 464)","CREATE","{}","{
  ""type"": ""STONE"",
  ""one_way"": true
}"
"2023-12-29T15:19:15.635+01:00","Cocam12345","e07e6e16-b0ba-4454-900c-65c7cb28e049","mtr.data.Rail","","","(-40, 76, 484)
(-40, 76, 502)","CREATE","{}","{
  ""type"": ""STONE"",
  ""one_way"": true
}"
"2023-12-29T15:20:07.435+01:00","Cocam12345","e07e6e16-b0ba-4454-900c-65c7cb28e049","mtr.data.Rail","","","(-40, 76, 502)
(-40, 76, 636)","CREATE","{}","{
  ""type"": ""STONE"",
  ""one_way"": true
}"
"2023-12-29T15:22:03.793+01:00","Cocam12345","e07e6e16-b0ba-4454-900c-65c7cb28e049","mtr.data.Rail","","","(-44, 76, 502)
(-44, 76, 636)","CREATE","{}","{
  ""type"": ""STONE"",
  ""one_way"": true
}"
"2023-12-29T15:22:21.355+01:00","Cocam12345","e07e6e16-b0ba-4454-900c-65c7cb28e049","mtr.data.Rail","","","(-44, 76, 484)
(-44, 76, 502)","CREATE","{}","{
  ""type"": ""STONE"",
  ""one_way"": true
}"
"2023-12-29T15:22:42.050+01:00","Cocam12345","e07e6e16-b0ba-4454-900c-65c7cb28e049","mtr.data.Rail","","","(-44, 76, 484)
(-60, 76, 468)","CREATE","{}","{
  ""type"": ""STONE"",
  ""one_way"": true
}"
"2023-12-29T15:22:55.697+01:00","Cocam12345","e07e6e16-b0ba-4454-900c-65c7cb28e049","mtr.data.Rail","","","(-60, 76, 468)
(-74, 76, 468)","CREATE","{}","{
  ""type"": ""STONE"",
  ""one_way"": true
}"
"2023-12-29T15:23:14.306+01:00","Cocam12345","e07e6e16-b0ba-4454-900c-65c7cb28e049","mtr.data.Rail","","","(-110, 76, 468)
(-74, 76, 468)","CREATE","{}","{
  ""type"": ""STONE"",
  ""one_way"": true
}"
"2023-12-29T15:24:05.499+01:00","Cocam12345","e07e6e16-b0ba-4454-900c-65c7cb28e049","mtr.data.Rail","","","(-110, 76, 468)
(-181, 76, 468)","CREATE","{}","{
  ""type"": ""STONE"",
  ""one_way"": true
}"
"2023-12-29T15:24:13.797+01:00","Cocam12345","e07e6e16-b0ba-4454-900c-65c7cb28e049","mtr.data.Rail","","","(-181, 76, 468)
(-210, 76, 480)","CREATE","{}","{
  ""type"": ""STONE"",
  ""one_way"": true
}"
"2023-12-29T15:26:31.410+01:00","Cocam12345","e07e6e16-b0ba-4454-900c-65c7cb28e049","mtr.data.Route","[-1273286375088788040]","Untitled","","CREATE","{}","{
  ""id"": -1273286375088788040,
  ""transport_mode"": ""TRAIN"",
  ""name"": ""Untitled"",
  ""color"": 14037245,
  ""platform_ids"": [],
  ""custom_destinations"": [],
  ""route_type"": ""NORMAL"",
  ""is_light_rail_route"": false,
  ""is_route_hidden"": false,
  ""disable_next_station_announcements"": false,
  ""light_rail_route_number"": """",
  ""circular_state"": ""NONE""
}"
"2023-12-29T15:26:36.465+01:00","Cocam12345","e07e6e16-b0ba-4454-900c-65c7cb28e049","mtr.data.Route","[-1273286375088788040]","Untitled","","EDIT","{
  ""is_route_hidden"": false
}","{
  ""is_route_hidden"": true
}"
"2023-12-29T15:26:40.203+01:00","Cocam12345","e07e6e16-b0ba-4454-900c-65c7cb28e049","mtr.data.Route","[-1273286375088788040]","Untitled","","EDIT","{
  ""is_route_hidden"": true
}","{
  ""is_route_hidden"": false
}"
"2023-12-29T15:26:42.000+01:00","Cocam12345","e07e6e16-b0ba-4454-900c-65c7cb28e049","mtr.data.Route","[-1273286375088788040]","Untitled","","DELETE","{
  ""id"": -1273286375088788040,
  ""transport_mode"": ""TRAIN"",
  ""name"": ""Untitled"",
  ""color"": 14037245,
  ""platform_ids"": [],
  ""custom_destinations"": [],
  ""route_type"": ""NORMAL"",
  ""is_light_rail_route"": false,
  ""is_route_hidden"": false,
  ""disable_next_station_announcements"": false,
  ""light_rail_route_number"": """",
  ""circular_state"": ""NONE""
}","{}"
"2023-12-29T15:27:43.992+01:00","Cocam12345","e07e6e16-b0ba-4454-900c-65c7cb28e049","mtr.data.Route","[7182199193144620533]","Blue archive","","EDIT","{
  ""platform_ids"": [
    7771355156019041761,
    728599220646900956,
    -5543329105458541737,
    869098170259460033,
    -2820220399147344610,
    -3969304865295514793
  ],
  ""custom_destinations"": [
    """",
    """",
    """",
    """",
    """",
    """"
  ]
}","{
  ""platform_ids"": [
    7771355156019041761,
    728599220646900956,
    -5543329105458541737,
    869098170259460033,
    -3969304865295514793
  ],
  ""custom_destinations"": [
    """",
    """",
    """",
    """",
    """"
  ]
}"
"2023-12-29T15:27:44.961+01:00","Cocam12345","e07e6e16-b0ba-4454-900c-65c7cb28e049","mtr.data.Route","[7182199193144620533]","Blue archive","","EDIT","{
  ""platform_ids"": [
    7771355156019041761,
    728599220646900956,
    -5543329105458541737,
    869098170259460033,
    -3969304865295514793
  ],
  ""custom_destinations"": [
    """",
    """",
    """",
    """",
    """"
  ]
}","{
  ""platform_ids"": [
    7771355156019041761,
    728599220646900956,
    -5543329105458541737,
    869098170259460033
  ],
  ""custom_destinations"": [
    """",
    """",
    """",
    """"
  ]
}"
"2023-12-29T15:27:51.005+01:00","Cocam12345","e07e6e16-b0ba-4454-900c-65c7cb28e049","mtr.data.Route","[7182199193144620533]","Blue archive","","EDIT","{
  ""platform_ids"": [
    7771355156019041761,
    728599220646900956,
    -5543329105458541737,
    869098170259460033
  ],
  ""custom_destinations"": [
    """",
    """",
    """",
    """"
  ]
}","{
  ""platform_ids"": [
    728599220646900956,
    -5543329105458541737,
    869098170259460033
  ],
  ""custom_destinations"": [
    """",
    """",
    """"
  ]
}"
"2023-12-29T15:28:32.013+01:00","Cocam12345","e07e6e16-b0ba-4454-900c-65c7cb28e049","mtr.data.Route","[7182199193144620533]","Blue archive","","EDIT","{
  ""platform_ids"": [
    728599220646900956,
    -5543329105458541737,
    869098170259460033
  ],
  ""custom_destinations"": [
    """",
    """",
    """"
  ]
}","{
  ""platform_ids"": [
    728599220646900956,
    -5543329105458541737,
    869098170259460033,
    728599220646900956
  ],
  ""custom_destinations"": [
    """",
    """",
    """",
    """"
  ]
}"
"2023-12-29T15:28:35.641+01:00","Cocam12345","e07e6e16-b0ba-4454-900c-65c7cb28e049","mtr.data.Route","[7182199193144620533]","Blue archive","","EDIT","{
  ""platform_ids"": [
    728599220646900956,
    -5543329105458541737,
    869098170259460033,
    728599220646900956
  ],
  ""custom_destinations"": [
    """",
    """",
    """",
    """"
  ]
}","{
  ""platform_ids"": [
    728599220646900956,
    -5543329105458541737,
    869098170259460033,
    728599220646900956,
    -5543329105458541737
  ],
  ""custom_destinations"": [
    """",
    """",
    """",
    """",
    """"
  ]
}"
"2023-12-29T15:28:39.157+01:00","Cocam12345","e07e6e16-b0ba-4454-900c-65c7cb28e049","mtr.data.Route","[7182199193144620533]","Blue archive","","EDIT","{
  ""platform_ids"": [
    728599220646900956,
    -5543329105458541737,
    869098170259460033,
    728599220646900956,
    -5543329105458541737
  ],
  ""custom_destinations"": [
    """",
    """",
    """",
    """",
    """"
  ]
}","{
  ""platform_ids"": [
    728599220646900956,
    -5543329105458541737,
    869098170259460033,
    728599220646900956,
    -5543329105458541737,
    869098170259460033
  ],
  ""custom_destinations"": [
    """",
    """",
    """",
    """",
    """",
    """"
  ]
}"
"2023-12-29T15:28:41.400+01:00","Cocam12345","e07e6e16-b0ba-4454-900c-65c7cb28e049","mtr.data.Route","[7182199193144620533]","Blue archive","","EDIT","{
  ""platform_ids"": [
    728599220646900956,
    -5543329105458541737,
    869098170259460033,
    728599220646900956,
    -5543329105458541737,
    869098170259460033
  ],
  ""custom_destinations"": [
    """",
    """",
    """",
    """",
    """",
    """"
  ]
}","{
  ""platform_ids"": [
    728599220646900956,
    -5543329105458541737,
    869098170259460033,
    728599220646900956,
    -5543329105458541737,
    869098170259460033,
    728599220646900956
  ],
  ""custom_destinations"": [
    """",
    """",
    """",
    """",
    """",
    """",
    """"
  ]
}"
"2023-12-29T15:28:45.470+01:00","Cocam12345","e07e6e16-b0ba-4454-900c-65c7cb28e049","mtr.data.Route","[7182199193144620533]","Blue archive","","EDIT","{
  ""platform_ids"": [
    728599220646900956,
    -5543329105458541737,
    869098170259460033,
    728599220646900956,
    -5543329105458541737,
    869098170259460033,
    728599220646900956
  ],
  ""custom_destinations"": [
    """",
    """",
    """",
    """",
    """",
    """",
    """"
  ]
}","{
  ""platform_ids"": [
    728599220646900956,
    -5543329105458541737,
    869098170259460033,
    728599220646900956,
    -5543329105458541737,
    869098170259460033,
    728599220646900956,
    -5543329105458541737
  ],
  ""custom_destinations"": [
    """",
    """",
    """",
    """",
    """",
    """",
    """",
    """"
  ]
}"
"2023-12-29T15:28:50.616+01:00","Cocam12345","e07e6e16-b0ba-4454-900c-65c7cb28e049","mtr.data.Route","[7182199193144620533]","Blue archive","","EDIT","{
  ""platform_ids"": [
    728599220646900956,
    -5543329105458541737,
    869098170259460033,
    728599220646900956,
    -5543329105458541737,
    869098170259460033,
    728599220646900956,
    -5543329105458541737
  ],
  ""custom_destinations"": [
    """",
    """",
    """",
    """",
    """",
    """",
    """",
    """"
  ]
}","{
  ""platform_ids"": [
    728599220646900956,
    -5543329105458541737,
    869098170259460033,
    728599220646900956,
    -5543329105458541737,
    869098170259460033,
    728599220646900956,
    -5543329105458541737,
    869098170259460033
  ],
  ""custom_destinations"": [
    """",
    """",
    """",
    """",
    """",
    """",
    """",
    """",
    """"
  ]
}"
"2023-12-29T15:28:53.365+01:00","Cocam12345","e07e6e16-b0ba-4454-900c-65c7cb28e049","mtr.data.Route","[7182199193144620533]","Blue archive","","EDIT","{
  ""platform_ids"": [
    728599220646900956,
    -5543329105458541737,
    869098170259460033,
    728599220646900956,
    -5543329105458541737,
    869098170259460033,
    728599220646900956,
    -5543329105458541737,
    869098170259460033
  ],
  ""custom_destinations"": [
    """",
    """",
    """",
    """",
    """",
    """",
    """",
    """",
    """"
  ]
}","{
  ""platform_ids"": [
    728599220646900956,
    -5543329105458541737,
    869098170259460033,
    728599220646900956,
    -5543329105458541737,
    869098170259460033,
    728599220646900956,
    -5543329105458541737,
    869098170259460033,
    728599220646900956
  ],
  ""custom_destinations"": [
    """",
    """",
    """",
    """",
    """",
    """",
    """",
    """",
    """",
    """"
  ]
}"
"2023-12-29T15:28:56.366+01:00","Cocam12345","e07e6e16-b0ba-4454-900c-65c7cb28e049","mtr.data.Route","[7182199193144620533]","Blue archive","","EDIT","{
  ""platform_ids"": [
    728599220646900956,
    -5543329105458541737,
    869098170259460033,
    728599220646900956,
    -5543329105458541737,
    869098170259460033,
    728599220646900956,
    -5543329105458541737,
    869098170259460033,
    728599220646900956
  ],
  ""custom_destinations"": [
    """",
    """",
    """",
    """",
    """",
    """",
    """",
    """",
    """",
    """"
  ]
}","{
  ""platform_ids"": [
    728599220646900956,
    -5543329105458541737,
    869098170259460033,
    728599220646900956,
    -5543329105458541737,
    869098170259460033,
    728599220646900956,
    -5543329105458541737,
    869098170259460033,
    728599220646900956,
    -5543329105458541737
  ],
  ""custom_destinations"": [
    """",
    """",
    """",
    """",
    """",
    """",
    """",
    """",
    """",
    """",
    """"
  ]
}"
"2023-12-29T15:28:58.743+01:00","Cocam12345","e07e6e16-b0ba-4454-900c-65c7cb28e049","mtr.data.Route","[7182199193144620533]","Blue archive","","EDIT","{
  ""platform_ids"": [
    728599220646900956,
    -5543329105458541737,
    869098170259460033,
    728599220646900956,
    -5543329105458541737,
    869098170259460033,
    728599220646900956,
    -5543329105458541737,
    869098170259460033,
    728599220646900956,
    -5543329105458541737
  ],
  ""custom_destinations"": [
    """",
    """",
    """",
    """",
    """",
    """",
    """",
    """",
    """",
    """",
    """"
  ]
}","{
  ""platform_ids"": [
    728599220646900956,
    -5543329105458541737,
    869098170259460033,
    728599220646900956,
    -5543329105458541737,
    869098170259460033,
    728599220646900956,
    -5543329105458541737,
    869098170259460033,
    728599220646900956,
    -5543329105458541737,
    869098170259460033
  ],
  ""custom_destinations"": [
    """",
    """",
    """",
    """",
    """",
    """",
    """",
    """",
    """",
    """",
    """",
    """"
  ]
}"
"2023-12-29T15:29:06.457+01:00","Cocam12345","e07e6e16-b0ba-4454-900c-65c7cb28e049","mtr.data.Route","[7182199193144620533]","Blue archive","","EDIT","{
  ""platform_ids"": [
    728599220646900956,
    -5543329105458541737,
    869098170259460033,
    728599220646900956,
    -5543329105458541737,
    869098170259460033,
    728599220646900956,
    -5543329105458541737,
    869098170259460033,
    728599220646900956,
    -5543329105458541737,
    869098170259460033
  ],
  ""custom_destinations"": [
    """",
    """",
    """",
    """",
    """",
    """",
    """",
    """",
    """",
    """",
    """",
    """"
  ]
}","{
  ""platform_ids"": [
    728599220646900956,
    -5543329105458541737,
    869098170259460033,
    728599220646900956,
    -5543329105458541737,
    869098170259460033,
    728599220646900956,
    -5543329105458541737,
    869098170259460033,
    728599220646900956,
    -5543329105458541737,
    869098170259460033,
    -5543329105458541737
  ],
  ""custom_destinations"": [
    """",
    """",
    """",
    """",
    """",
    """",
    """",
    """",
    """",
    """",
    """",
    """",
    """"
  ]
}"
"2023-12-29T15:29:09.772+01:00","Cocam12345","e07e6e16-b0ba-4454-900c-65c7cb28e049","mtr.data.Route","[7182199193144620533]","Blue archive","","EDIT","{
  ""platform_ids"": [
    728599220646900956,
    -5543329105458541737,
    869098170259460033,
    728599220646900956,
    -5543329105458541737,
    869098170259460033,
    728599220646900956,
    -5543329105458541737,
    869098170259460033,
    728599220646900956,
    -5543329105458541737,
    869098170259460033,
    -5543329105458541737
  ],
  ""custom_destinations"": [
    """",
    """",
    """",
    """",
    """",
    """",
    """",
    """",
    """",
    """",
    """",
    """",
    """"
  ]
}","{
  ""platform_ids"": [
    728599220646900956,
    -5543329105458541737,
    869098170259460033,
    728599220646900956,
    -5543329105458541737,
    869098170259460033,
    728599220646900956,
    -5543329105458541737,
    869098170259460033,
    728599220646900956,
    -5543329105458541737,
    869098170259460033,
    -5543329105458541737,
    869098170259460033
  ],
  ""custom_destinations"": [
    """",
    """",
    """",
    """",
    """",
    """",
    """",
    """",
    """",
    """",
    """",
    """",
    """",
    """"
  ]
}"
